Partner_Description,Hiscox_COB,full_industry_code
Driveaway Contractor or Wrecker Service,OOA,0
"Driveway, Parking Lot or Sidewalk Paving and Repaving",Driveway or sidewalk paving/repaving,23899000_47409100_00000000
Drug / Convenience Stores,Drug Stores,44611000_11101100_00000000
Drywall Installation,Drywall or wallboard installation and repair (including framing),23813000_17510000_01000000
E-Cigarettes or Vape Store,OOA,0
Editorial Service – Proofreader,Document preparation,56141000_23101200_00000000
Education Consulting,Education consulting,54161100_13111100_02000000
Educational / School Supplies Distributor,OOA,0
EEG Technician / Technologist,OOA,0
Electrical Equipment Distributor,OOA,0
Electrical Repair (Auto),OOA,0
Electrical Supplies Distributor,OOA,0
Electrical Work,Electrical work (interior only),23821000_47211100_01000100
Electronic Auctions,OOA,0
Electronics Store,Appliance/electronic stores,44314100_11101100_00000001
Embroidery,Tailors & seamstress,81149000_51605200_00000000
Emergency or Public Livery Dealer,OOA,0
Employment Agency,Recruiting (employment placements),56131100_13107100_00000000
Energy Consulting,Environmental consulting,54162000_13111100_00000000
Energy Efficiency Consultant / Green Building Verifier,Environmental consulting,54162000_13111100_00000000
Engineering Services,Engineering,54133000_17219900_01000000
Engraving,Artists,71151000_27101000_00000000
"Equipment, Fixtures & Supplies for Bars, Hotels, etc",OOA,0
Event Planner,Event planning/promotion,81299000_13112100_00000000
Exam Preparation and Tutoring,Learning center - test prep,61169100_25304100_02000000
Excavation,Demolition and excavation,23891000_17940000_01000000
Executive and Legislative Offices,OOA,0
Executive Coaching,Life/career/executive coaching,54161100_11101100_00000000
Executive Search Services,Executive placement,56131200_13107100_00000000
Expediting Service,OOA,0
Exterior Insulation Finishing Systems (EIFS),Exterior finishing & siding (EIFS),23839000_49909900_03000000
Exterminating and Pest Control Services,OOA,0
Fabric Distributor,OOA,0
Fabric Store,Fabric Stores,45113000_11101100_00000001
Faith Based Counselor,OOA,0
Family Planning Clinic,OOA,0
Farm and Garden Machinery and Equipment Wholesalers,OOA,0
Farm Hand,OOA,0
Farm Labor Contractors and Crew Leaders,OOA,0
Farm Machinery and Equipment Manufacturing,OOA,0
Farm Management Services,OOA,0
